127.0.0.1 - - [12/Mar/2023:16:50:31 +0100] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:51:38 +0100] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:51:38 +0100] "GET /test/chatroom/null HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:51:41 +0100] "POST /test/test HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:51:41 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:52:14 +0100] "POST /test/test HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:52:14 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:53:23 +0100] "POST /test/test HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:53:23 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:54:00 +0100] "GET /test/menu HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:54:00 +0100] "GET /css/facturesVerification.css?v=%3C?php%20echo%20time();%20?%3E HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:54:05 +0100] "GET /test/test HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:54:05 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:54:08 +0100] "GET /test/test HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:54:08 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:54:59 +0100] "GET /test/menu HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:54:59 +0100] "GET /css/facturesVerification.css?v=%3C?php%20echo%20time();%20?%3E HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:08 +0100] "GET /test/test HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:08 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:09 +0100] "GET /Menu HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:29 +0100] "GET /Menu HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:32 +0100] "GET /Menu HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:35 +0100] "GET /test/test HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:36 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:37 +0100] "GET /menu HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:48 +0100] "GET /test/test HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:48 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:49 +0100] "GET /test/test/menu HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:51 +0100] "GET /test/test/menu HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:55:57 +0100] "GET /test/test/menu HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:01 +0100] "GET /test/test HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:01 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:02 +0100] "GET /test/test/menu HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:18 +0100] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:18 +0100] "GET /test/ HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:22 +0100] "GET /test/test HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:22 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:24 +0100] "GET /test/menu HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:24 +0100] "GET /css/facturesVerification.css?v=%3C?php%20echo%20time();%20?%3E HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:54 +0100] "GET /test/test HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:56:54 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:16:57:00 +0100] "GET /test/est HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:09 +0100] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:09 +0100] "GET /test/ HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:12 +0100] "GET /test/test HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:12 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:18 +0100] "GET /test/Menu HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:18 +0100] "GET /css/facturesVerification.css?v=%3C?php%20echo%20time();%20?%3E HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:27 +0100] "GET /test/Chat HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:42 +0100] "GET /test/chatroom/null HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:45 +0100] "GET /test/test HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:45 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:47 +0100] "GET /test/Menu HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:00:47 +0100] "GET /css/facturesVerification.css?v=%3C?php%20echo%20time();%20?%3E HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:31:01 +0100] "GET /test/test HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:31:01 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:31:55 +0100] "POST /test/test HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:31:55 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:37:18 +0100] "POST /test/test HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:37:18 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:37:24 +0100] "POST /test/test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:37:24 +0100] "GET /test/login.jsp HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:38:10 +0100] "POST /test/test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:38:10 +0100] "GET /test/login.jsp HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:38:15 +0100] "POST /test/test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:38:15 +0100] "GET /test/login.jsp HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:38:18 +0100] "GET /test/test HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:38:40 +0100] "POST /test/test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:38:40 +0100] "GET /test/login.jsp HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [12/Mar/2023:17:38:44 +0100] "GET /test/test HTTP/1.1" 200 1682
